member_a_id,member_b_id,member_a_name,member_b_name,metric
B001261,L000575,John Barrasso,James Lankford,1.0
M001176,M000702,Jeff Merkley,Barbara Mikulski,0.0
G000359,H000338,Lindsey Graham,Orrin Hatch,5.0
J000293,M000639,Ron Johnson,Robert Menendez,0.0
B000575,M000133,Roy Blunt,Edward Markey,1.0
M001111,S001194,Patty Murray,Brian Schatz,2.0
C001098,P000449,Ted Cruz,Rob Portman,1.0
K000384,S001198,Tim Kaine,Dan Sullivan,2.0
H001061,S000033,John Hoeven,Bernard Sanders,0.0
B001261,S001184,John Barrasso,Tim Scott,1.0
C001070,C001071,Bob Casey,Bob Corker,0.0
M000303,W000779,John McCain,Ron Wyden,1.0
F000463,P000449,Deb Fischer,Rob Portman,2.0
F000457,H001061,Al Franken,John Hoeven,1.0
H001041,M001170,Dean Heller,Claire McCaskill,2.0
C000174,I000024,Thomas Carper,James Inhofe,2.0
H000338,M000639,Orrin Hatch,Robert Menendez,1.0
C000174,G000562,Thomas Carper,Cory Gardner,1.0
P000612,R000122,David Perdue,Jack Reed,0.0
L000174,V000127,Patrick Leahy,David Vitter,1.0
H001042,P000612,Mazie Hirono,David Perdue,1.0
S001197,V000127,Ben Sasse,David Vitter,1.0
D000618,H001041,Steve Daines,Dean Heller,2.0
C000127,M001183,Maria Cantwell,Joe Manchin,1.0
A000360,C000127,Lamar Alexander,Maria Cantwell,1.0
C001095,M001169,Tom Cotton,Christopher Murphy,0.0
M001169,S001194,Christopher Murphy,Brian Schatz,1.0
C001088,H001041,Christopher Coons,Dean Heller,1.0
C001035,F000457,Susan Collins,Al Franken,3.0
B001236,S001198,John Boozman,Dan Sullivan,3.0
M000133,M000702,Edward Markey,Barbara Mikulski,0.0
B001288,P000449,Cory Booker,Rob Portman,2.0
P000603,T000476,Rand Paul,Thom Tillis,1.0
C001088,M000303,Christopher Coons,John McCain,2.0
S000320,T000476,Richard Shelby,Thom Tillis,1.0
C001035,S000033,Susan Collins,Bernard Sanders,1.0
C001047,H001046,Shelley Capito,Martin Heinrich,1.0
R000584,R000605,Jim Risch,Mike Rounds,1.0
H000338,L000577,Orrin Hatch,Mike Lee,2.0
U000039,W000779,Tom Udall,Ron Wyden,2.0
H001041,S001181,Dean Heller,Jeanne Shaheen,1.0
P000449,R000584,Rob Portman,Jim Risch,2.0
B001267,H001042,Michael Bennet,Mazie Hirono,1.0
D000618,G000562,Steve Daines,Cory Gardner,2.0
I000024,K000384,James Inhofe,Tim Kaine,0.0
F000444,M000133,Jeff Flake,Edward Markey,0.0
A000368,H001061,Kelly Ayotte,John Hoeven,3.0
R000146,R000584,Harry Reid,Jim Risch,0.0
G000359,R000605,Lindsey Graham,Mike Rounds,1.0
B001236,C001056,John Boozman,John Cornyn,3.0
L000575,R000307,James Lankford,Pat Roberts,2.0
B001230,B000944,Tammy Baldwin,Sherrod Brown,0.0
L000577,S000148,Mike Lee,Charles Schumer,1.0
H001069,R000605,Heidi Heitkamp,Mike Rounds,1.0
E000295,K000367,Joni Ernst,Amy Klobuchar,1.0
L000575,W000817,James Lankford,Elizabeth Warren,0.0
C000127,C001075,Maria Cantwell,Bill Cassidy,1.0
M001183,R000584,Joe Manchin,Jim Risch,2.0
S000148,S000770,Charles Schumer,Debbie Stabenow,1.0
G000555,T000461,Kirsten Gillibrand,Patrick Toomey,2.0
G000386,S001197,Charles Grassley,Ben Sasse,1.0
C001056,M000133,John Cornyn,Edward Markey,1.0
R000146,T000250,Harry Reid,John Thune,0.0
G000386,L000174,Charles Grassley,Patrick Leahy,3.0
L000174,M000934,Patrick Leahy,Jerry Moran,1.0
M001176,R000595,Jeff Merkley,Marco Rubio,1.0
M000934,S001197,Jerry Moran,Ben Sasse,1.0
H001042,W000802,Mazie Hirono,Sheldon Whitehouse,2.0
C001088,H001061,Christopher Coons,John Hoeven,2.0
B001261,H001046,John Barrasso,Martin Heinrich,1.0
